"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/02";"25";"13/02/2025";"4";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"27.958";"0";"26.328";"1.630";"21.460";"6.498";"27.958";"0"
"2025/02";"25";"14/02/2025";"5";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"29.063";"0";"27.416";"1.647";"21.291";"7.772";"29.063";"0"
"2025/02";"25";"15/02/2025";"6";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"27.236";"0";"26.861";"375";"19.338";"7.898";"0";"27.236"
"2025/02";"25";"16/02/2025";"7";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"23.944";"0";"23.810";"134";"16.908";"7.036";"0";"23.944"
"2025/02";"25";"17/02/2025";"1";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"28.866";"0";"26.571";"2.295";"21.532";"7.334";"28.866";"0"
"2025/02";"25";"18/02/2025";"2";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"30.787";"0";"27.651";"3.136";"21.572";"9.215";"30.787";"0"
"2025/02";"25";"19/02/2025";"3";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"31.858";"0";"28.376";"3.482";"22.139";"9.719";"31.858";"0"
"2025/02";"25";"20/02/2025";"4";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"31.084";"0";"28.080";"3.004";"22.217";"8.867";"31.084";"0"
"2025/02";"25";"21/02/2025";"5";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"31.916";"0";"29.007";"2.909";"22.304";"9.612";"31.916";"0"
"2025/02";"25";"22/02/2025";"6";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"27.673";"0";"27.236";"437";"19.517";"8.156";"0";"27.673"
"2025/02";"25";"23/02/2025";"7";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"23.784";"0";"23.648";"136";"16.864";"6.920";"0";"23.784"
"2025/02";"25";"24/02/2025";"1";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"28.247";"0";"26.476";"1.771";"21.897";"6.350";"28.247";"0"
"2025/02";"25";"25/02/2025";"2";"SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia";"28.322";"0";"26.605";"1.717";"21.649";"6.673";"28.322";"0"
"2025/02";"29";"12/02/2025";"3";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.224";"0";"19.846";"2.378";"17.205";"5.019";"22.224";"0"
"2025/02";"29";"13/02/2025";"4";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.775";"0";"20.346";"2.429";"17.494";"5.281";"22.775";"0"
"2025/02";"29";"14/02/2025";"5";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"23.203";"0";"21.115";"2.088";"17.444";"5.759";"23.203";"0"
"2025/02";"29";"15/02/2025";"6";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"21.860";"0";"21.473";"387";"15.574";"6.286";"0";"21.860"
"2025/02";"29";"16/02/2025";"7";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"20.073";"0";"19.889";"184";"14.607";"5.466";"0";"20.073"
"2025/02";"29";"17/02/2025";"1";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"21.832";"0";"19.662";"2.170";"17.126";"4.706";"21.832";"0"
"2025/02";"29";"18/02/2025";"2";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.328";"0";"19.975";"2.353";"17.472";"4.856";"22.328";"0"
"2025/02";"29";"19/02/2025";"3";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.968";"0";"20.393";"2.575";"17.864";"5.104";"22.968";"0"
"2025/02";"29";"20/02/2025";"4";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.758";"0";"20.365";"2.393";"17.381";"5.377";"22.758";"0"
"2025/02";"29";"21/02/2025";"5";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"24.033";"0";"21.583";"2.450";"17.919";"6.114";"24.033";"0"
"2025/02";"29";"22/02/2025";"6";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.253";"0";"21.808";"445";"15.547";"6.706";"0";"22.253"
"2025/02";"29";"23/02/2025";"7";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"20.774";"0";"20.547";"227";"14.760";"6.014";"0";"20.774"
"2025/02";"29";"24/02/2025";"1";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.237";"0";"20.046";"2.191";"17.522";"4.715";"22.237";"0"
"2025/02";"29";"25/02/2025";"2";"SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia)";"22.632";"0";"20.218";"2.414";"17.737";"4.895";"22.632";"0"
"2025/02";"53";"12/02/2025";"3";"SS 309 a San Giuseppe di Comacchio";"10.385";"0";"6.172";"4.213";"8.240";"2.145";"10.385";"0"
"2025/02";"53";"13/02/2025";"4";"SS 309 a San Giuseppe di Comacchio";"10.367";"0";"6.433";"3.934";"8.171";"2.196";"10.367";"0"
"2025/02";"53";"14/02/2025";"5";"SS 309 a San Giuseppe di Comacchio";"10.372";"0";"7.062";"3.310";"7.999";"2.373";"10.372";"0"
"2025/02";"53";"15/02/2025";"6";"SS 309 a San Giuseppe di Comacchio";"8.086";"0";"7.237";"849";"6.153";"1.933";"0";"8.086"
"2025/02";"53";"16/02/2025";"7";"SS 309 a San Giuseppe di Comacchio";"7.965";"0";"7.604";"361";"6.196";"1.769";"0";"7.965"
"2025/02";"53";"17/02/2025";"1";"SS 309 a San Giuseppe di Comacchio";"10.306";"0";"6.583";"3.723";"8.114";"2.192";"10.306";"0"
